facilities,rating,rating_descriptions,review_counts,location,Price
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.2,Very Good,16.0,Wanderland,17000
['restaurant'],,,,Andeman,14000
"['internet', 'bar', 'restaurant']",8.4,Excellent,1.0,Andeman,14000
['pool'],8.8,Excellent,1.0,Ubisville,35000
"['bar', 'restaurant']",6.0,Very Good,3.0,Wanderland,8000
"['intrnet', 'bar', 'restaurant']",,,,Stokol,10000
"['internet', 'restaurant', 'swimmingpools']",6.4,Very Good,2.0,Machlessvile,6000
"['internet', 'bar', 'restaurant']",8.1,Excellent,4.0,Uberlandia,30500
"['intrnet', 'bar', 'swimmingpools']",8.8,Excellent,36.0,Andeman,25000
"['intrnet', 'restaurant']",5.7,Good,6.0,Stokol,16500
"['intrnet', 'bar', 'restaurant']",7.9,Very Good,10.0,Andeman,59000
"['bar', 'restaurant', 'swimmingpools', 'gym']",9.3,Excellent,3.0,Machlessvile,88600
['bar'],,,,Andeman,3000
"['internet', 'bar', 'swimmingpools']",8.8,Excellent,36.0,Uberlandia,25000
"['intrnet', 'bar', 'restaurant']",10.0,Excellent,1.0,Willsmian,20000
[],5.4,Good,2.0,Uberlandia,3000
[],5.6,Good,3.0,Stokol,14000
"['internet', 'bar', 'restaurant']",2.5,Fair,4.0,Wanderland,20000
"['bar', 'restaurant']",,,,Wanderland,2500
[],,,,Hallerson,2200
"['bar', 'pool', 'gym']",9.5,Excellent,4.0,Machlessvile,14997
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.7,Very Good,6.0,Ubisville,44203
"['internet', 'bar', 'restaurant']",8.1,Excellent,4.0,Andeman,30500
"['bar', 'restaurant', 'swimmingpools', 'gym']",8.6,Excellent,6.0,Uberlandia,23000
['restaurant'],7.2,Very Good,12.0,Uberlandia,9000
"['intrnet', 'bar', 'restaurant', 'pool']",8.7,Excellent,15.0,Wanderland,35000
[],,,,Andeman,3700
"['pool', 'gym']",,,,Uberlandia,16100
"['bar', 'restaurant']",8.9,Excellent,5.0,Hallerson,17000
"['internet', 'bar', 'restaurant']",2.5,Fair,4.0,Uberlandia,20000
"['bar', 'restaurant']",7.6,Very Good,3.0,Wanderland,5000
"['internet', 'bar', 'restaurant']",6.8,Very Good,4.0,Stokol,18000
"['internet', 'bar']",7.4,Very Good,40.0,Wanderland,13000
"['internet', 'restaurant']",8.0,Excellent,7.0,Uberlandia,44000
"['bar', 'restaurant']",,,,Hallerson,7500
['restaurant'],7.2,Very Good,12.0,Machlessvile,9000
"['internet', 'restaurant']",7.2,Very Good,30.0,Wanderland,20000
"['internet', 'bar', 'restaurant']",,,,Wanderland,10000
"['bar', 'restaurant', 'swimmingpools', 'gym']",,,,Stokol,30000
"['bar', 'restaurant']",6.4,Very Good,3.0,Uberlandia,10000
"['bar', 'restaurant']",6.8,Very Good,3.0,Stokol,23000
"['bar', 'restaurant']",6.3,Very Good,34.0,Uberlandia,11500
['internet'],8.1,Excellent,57.0,Wanderland,21500
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.8,Excellent,2.0,Uberlandia,37250
"['bar', 'restaurant']",,,,Stokol,2000
"['internet', 'bar']",6.7,Very Good,27.0,Machlessvile,12000
"['intrnet', 'bar', 'gym']",7.5,Very Good,16.0,Uberlandia,17000
"['restaurant', 'swimmingpools']",,,,Wanderland,80500
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.6,Very Good,6.0,Stokol,30000
['restaurant'],,,,Willsmian,8500
"['internet', 'bar', 'restaurant', 'gym']",10.0,Excellent,1.0,Stokol,13000
['bar'],8.7,Excellent,22.0,Stokol,27000
['bar'],7.6,Very Good,1.0,Willsmian,5000
[],,,,Wanderland,1800
"['bar', 'restaurant']",2.0,Fair,1.0,Andeman,4500
['pool'],,,,Andeman,20000
"['restaurant', 'pool']",6.4,Very Good,4.0,Machlessvile,18000
"['intrnet', 'bar', 'swimmingpools']",8.8,Excellent,36.0,Willsmian,25000
"['restaurant', 'pool', 'gym']",6.2,Very Good,30.0,Stokol,17999
"['internet', 'bar', 'restaurant', 'gym']",8.4,Excellent,10.0,Stokol,25800
[],,,,Wanderland,2500
"['bar', 'restaurant', 'pool', 'gym']",7.4,Very Good,10.0,Stokol,8000
"['intrnet', 'bar', 'restaurant', 'pool']",8.7,Excellent,15.0,Hallerson,35000
"['bar', 'restaurant', 'swimmingpools']",8.9,Excellent,3.0,Wanderland,20000
"['restaurant', 'swimmingpools', 'gym']",9.3,Excellent,4.0,Hallerson,35000
"['intrnet', 'bar', 'restaurant']",7.4,Very Good,26.0,Hallerson,10000
"['internet', 'bar', 'restaurant', 'gym']",7.2,Very Good,44.0,Stokol,30000
"['internet', 'bar', 'restaurant', 'gym']",7.5,Very Good,9.0,Uberlandia,25250
"['intrnet', 'bar', 'restaurant']",8.1,Excellent,32.0,Uberlandia,92000
['restaurant'],7.1,Very Good,68.0,Andeman,20000
[],,,,Willsmian,4200
"['internet', 'bar', 'restaurant']",7.7,Very Good,11.0,Uberlandia,15000
"['bar', 'restaurant', 'swimmingpools']",8.0,Excellent,9.0,Uberlandia,25000
"['internet', 'bar', 'restaurant']",7.2,Very Good,39.0,Andeman,9200
['restaurant'],,,,Wanderland,4250
['restaurant'],7.1,Very Good,12.0,Willsmian,20000
"['bar', 'restaurant']",3.6,Fair,1.0,Hallerson,3000
"['bar', 'restaurant']",,,,Hallerson,4500
['bar'],,,,Hallerson,5000
"['bar', 'restaurant']",8.9,Excellent,5.0,Wanderland,17000
"['internet', 'bar', 'restaurant', 'gym']",5.1,Good,4.0,Andeman,9500
['internet'],8.9,Excellent,11.0,Andeman,18000
"['intrnet', 'bar', 'restaurant']",,,,Stokol,7475
['swimmingpools'],,,,Willsmian,20000
['restaurant'],,,,Stokol,5000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.5,Excellent,4.0,Machlessvile,49900
"['internet', 'bar', 'restaurant', 'pool', 'gym']",8.5,Excellent,11.0,Andeman,30000
"['internet', 'bar', 'restaurant']",9.4,Excellent,2.0,Uberlandia,12000
"['intrnet', 'restaurant', 'gym']",5.6,Good,4.0,Hallerson,13000
"['restaurant', 'gym']",5.6,Good,1.0,Hallerson,15500
['restaurant'],7.4,Very Good,12.0,Ubisville,10000
"['bar', 'restaurant']",3.9,Fair,3.0,Uberlandia,7000
['swimmingpools'],,,,Stokol,20000
"['internet', 'restaurant', 'pool']",6.4,Very Good,2.0,Andeman,6000
"['bar', 'restaurant']",7.1,Very Good,10.0,Uberlandia,11000
"['bar', 'restaurant', 'swimmingpools', 'gym']",5.7,Good,37.0,Willsmian,30000
"['internet', 'restaurant']",8.3,Excellent,6.0,Stokol,25000
"['bar', 'restaurant']",8.0,Excellent,2.0,Stokol,5000
['bar'],8.7,Excellent,22.0,Stokol,27000
"['bar', 'restaurant']",5.8,Good,10.0,Wanderland,3000
"['bar', 'pool', 'gym']",8.6,Excellent,4.0,Wanderland,12800
"['bar', 'restaurant']",8.1,Excellent,18.0,Machlessvile,15500
"['bar', 'pool']",10.0,Excellent,1.0,Uberlandia,25000
"['bar', 'restaurant']",7.3,Very Good,6.0,Machlessvile,6000
"['internet', 'bar', 'restaurant', 'pool']",10.0,Excellent,1.0,Andeman,15000
[],,,,Machlessvile,4000
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",7.8,Very Good,25.0,Hallerson,15000
